Machine_ID,variable,recent_mean,center,sigma,level,maturity_S,urgency_U,health_index,trend_significant,machine_health
LD-01,Laser_Power_W,18.4903,18.4997,0.0558,94.36,0.021,0.018,93.57,False,56.66
LD-01,Laser_Frequency_kHz,99.8512,99.997,0.6293,92.28,0.043,0.031,90.7,False,56.66
LD-01,Power_Efficiency_pct,94.8847,94.8909,0.0899,97.71,0.006,0.011,97.28,False,56.66
LD-01,Beam_Center_Offset_um,-0.0173,0.0006,0.1166,94.87,1.0,0.006,56.68,False,56.66
LD-01,Feed_Speed_mm_s,249.8705,249.9966,0.7313,94.25,0.02,0.026,93.28,False,56.66
LD-01,Focus_Offset_um,-0.031,0.0012,0.2075,94.84,1.0,0.001,56.66,False,56.66
LD-01,Head_Temp_C,28.3124,28.3949,0.6279,95.62,0.151,0.005,89.79,False,56.66
LD-01,Coolant_Flow_lpm,12.5713,12.6008,0.2403,95.91,0.134,0.007,90.71,False,56.66
LD-01,Clean_Flow_lpm,8.3663,8.3675,0.2118,99.81,0.154,0.003,93.59,False,56.66
LD-01,Clean_Pressure_bar,2.3382,2.3498,0.063,93.83,0.177,0.011,87.14,False,56.66
LD-01,Clean_Time_s,13.9215,14.0006,0.4271,93.82,0.194,0.02,86.5,False,56.66
LD-01,Vibration_mm_s,0.8396,0.8594,0.0938,92.94,0.673,0.034,67.83,False,56.66
LD-02,Laser_Power_W,18.4973,18.4997,0.0558,98.55,0.022,0.006,97.69,False,25.88
LD-02,Laser_Frequency_kHz,99.941,99.997,0.6293,97.03,0.039,0.018,95.52,False,25.88
LD-02,Power_Efficiency_pct,94.8977,94.8909,0.0899,97.47,0.005,0.001,97.26,False,25.88
LD-02,Beam_Center_Offset_um,-0.0027,0.0006,0.1166,99.07,1.0,0.005,58.99,False,25.88
LD-02,Feed_Speed_mm_s,249.9408,249.9966,0.7313,97.46,0.021,0.009,96.65,False,25.88
LD-02,Focus_Offset_um,-0.0031,0.0012,0.2075,99.32,1.0,0.008,59.12,False,25.88
LD-02,Head_Temp_C,28.3293,28.3949,0.6279,96.52,0.148,0.026,90.75,False,25.88
LD-02,Coolant_Flow_lpm,12.5803,12.6008,0.2403,97.16,0.12,0.013,92.46,False,25.88
