machine,variable,window,n_days,slope_per_day,total_change,p_linear,kendall_tau,p_kendall,significant,is_injected
LD-01,Laser_Power_W,full,120,1.722331207248074e-05,0.002049574136625208,0.39929517190148067,0.04313725490196078,0.48479073931464345,False,False
LD-01,Laser_Power_W,last45,46,-2.2246752187425813e-05,-0.0010011038484341616,0.799365048110786,-0.02028985507246377,0.8423947985404165,False,False
LD-01,Laser_Power_W,last30,31,-0.00015640172287593142,-0.0046920516862779425,0.3636077639748034,-0.10107526881720431,0.43751367774909966,False,False
LD-01,Laser_Power_W,last21,22,-0.0003396202864197594,-0.0071320260148149475,0.22652745219945128,-0.1774891774891775,0.26275316600189397,False,False
LD-01,Laser_Power_W,last14,15,-0.0002671061475912292,-0.0037394860662772087,0.6327957883079048,-0.06666666666666668,0.770495669755301,False,False
LD-01,Laser_Power_W,last7,8,-0.002680017937262432,-0.018760125560837025,0.052445779307672295,-0.3571428571428571,0.27509920634920637,False,False
LD-01,Laser_Frequency_kHz,full,120,-0.00033269785847738224,-0.039591045158808486,0.1392373056590961,-0.09579831932773109,0.12078752912019496,False,False
LD-01,Laser_Frequency_kHz,last45,46,-0.0006277057273355113,-0.028246757730098007,0.4547048957155567,-0.0570048309178744,0.5764204344541329,False,False
LD-01,Laser_Frequency_kHz,last30,31,-0.0013151222665699562,-0.039453667997098686,0.3979628928601482,-0.10107526881720431,0.43751367774909966,False,False
LD-01,Laser_Frequency_kHz,last21,22,-0.003753758701848,-0.078828932738808,0.19402492477629538,-0.20346320346320346,0.19701520944492798,False,False
LD-01,Laser_Frequency_kHz,last14,15,-0.004415619388148631,-0.06181867143408084,0.4169942952539469,-0.14285714285714288,0.4950508526248027,False,False
LD-01,Laser_Frequency_kHz,last7,8,-0.021670899927811894,-0.15169629949468325,0.17909455215666173,-0.3571428571428571,0.27509920634920637,False,False
LD-01,Power_Efficiency_pct,full,120,-1.6421251761004972e-05,-0.001954128959559592,0.578961759392356,-0.035854341736694675,0.5614631702518695,False,False
LD-01,Power_Efficiency_pct,last45,46,-0.0001001608825267959,-0.0045072397137058155,0.455061509599742,-0.07439613526570048,0.4659724913518163,False,False
LD-01,Power_Efficiency_pct,last30,31,-0.0004006988007744375,-0.012020964023233124,0.12198217736993813,-0.20430107526881724,0.11056798682472836,False,False
LD-01,Power_Efficiency_pct,last21,22,-0.0005691962493033287,-0.011953121235369903,0.17462700823749253,-0.2207792207792208,0.16029274039086885,False,False
LD-01,Power_Efficiency_pct,last14,15,-0.001182016545946902,-0.01654823164325663,0.12371315545160465,-0.29523809523809524,0.13946285911906778,False,False
LD-01,Power_Efficiency_pct,last7,8,-0.0032395640524890993,-0.022676948367423694,0.1423863445231444,-0.3571428571428571,0.27509920634920637,False,False
LD-01,Beam_Center_Offset_um,full,120,1.2724188248601576e-05,0.0015141784015835875,0.7534985144956696,0.04089635854341737,0.5077621667128496,False,False
LD-01,Beam_Center_Offset_um,last45,46,0.00010590089100521209,0.004765540095234544,0.5030566085318138,0.07246376811594203,0.4776350663093746,False,False
LD-01,Beam_Center_Offset_um,last30,31,0.00014194559075054444,0.004258367722516333,0.6230586607016273,0.07526881720430108,0.5663744539910857,False,False
LD-01,Beam_Center_Offset_um,last21,22,0.00027304487838555733,0.005733942446096704,0.5716364947620681,0.1341991341991342,0.4020304086977944,False,False
LD-01,Beam_Center_Offset_um,last14,15,-0.0004890041491312443,-0.00684605808783742,0.5988400388293607,0.04761904761904762,0.845841042458974,False,False
LD-01,Beam_Center_Offset_um,last7,8,-0.002719217735581766,-0.019034524149072363,0.2938386303421229,-0.14285714285714285,0.7195436507936508,False,False
LD-01,Feed_Speed_mm_s,full,120,-0.00031741250661381843,-0.03777208828704439,0.2408238233351599,-0.05938375350140055,0.33618324611077843,False,False
LD-01,Feed_Speed_mm_s,last45,46,0.00072101698692524,0.0324457644116358,0.5525634344818642,0.06280193236714976,0.5382708717315443,False,False
LD-01,Feed_Speed_mm_s,last30,31,4.645029071932714e-05,0.0013935087215798142,0.984692051676559,-0.015053763440860218,0.9194760457503081,False,False
LD-01,Feed_Speed_mm_s,last21,22,-0.004738298395522639,-0.09950426630597542,0.21953660261749752,-0.18614718614718614,0.23937855648715442,False,False
LD-01,Feed_Speed_mm_s,last14,15,-0.011346859445579987,-0.1588560322381198,0.07222400546499218,-0.3142857142857143,0.11424717239544455,False,False
LD-01,Feed_Speed_mm_s,last7,8,-0.007409460273831788,-0.05186622191682251,0.6270809683138895,-0.07142857142857142,0.9048611111111111,False,False
LD-01,Focus_Offset_um,full,120,-4.728708305817345e-06,-0.0005627162883922641,0.9468346305304682,-0.015966386554621848,0.7959597633198916,False,False
LD-01,Focus_Offset_um,last45,46,-6.279466471555562e-05,-0.002825759912200003,0.8460345155365091,-0.022222222222222227,0.8276102746091446,False,False
LD-01,Focus_Offset_um,last30,31,4.204238928347624e-05,0.001261271678504287,0.9454214683138525,0.010752688172043012,0.946267481980245,False,False
LD-01,Focus_Offset_um,last21,22,-0.00015095859275811416,-0.003170130447920397,0.8870869047015582,-0.08225108225108224,0.6157664135385533,False,False
LD-01,Focus_Offset_um,last14,15,-0.002237116928260634,-0.03131963699564888,0.24758823411659495,-0.2761904761904762,0.16857787367749338,False,False
LD-01,Focus_Offset_um,last7,8,-0.0020993434188685705,-0.014695403932079994,0.7537527376111286,-0.07142857142857142,0.9048611111111111,False,False
LD-01,Head_Temp_C,full,120,-5.48207030005756e-05,-0.006523663657068497,0.8090835820790636,-0.013445378151260503,0.8276230537904585,False,False
LD-01,Head_Temp_C,last45,46,0.0013870420221035855,0.06241689099466135,0.17185257143394203,0.11111111111111112,0.2762255700053524,False,False
LD-01,Head_Temp_C,last30,31,0.0004608175845921031,0.013824527537763094,0.8019870119075446,-0.015053763440860218,0.9194760457503081,False,False
LD-01,Head_Temp_C,last21,22,-0.0008507553394677426,-0.017865862128822595,0.7984518378796837,-0.11688311688311688,0.4680001686472355,False,False
LD-01,Head_Temp_C,last14,15,-0.004991186201651627,-0.06987660682312277,0.383074638681185,-0.21904761904761905,0.2815660702955676,False,False
LD-01,Head_Temp_C,last7,8,-0.02699941214131891,-0.18899588498923237,0.09702362206078892,-0.42857142857142855,0.17886904761904762,False,False
LD-01,Coolant_Flow_lpm,full,120,-2.7964022534356293e-05,-0.003327718681588399,0.7546171446574576,-0.019327731092436972,0.7542675996665832,False,False
LD-01,Coolant_Flow_lpm,last45,46,0.0005115280892376038,0.02301876401569217,0.18445452154398215,0.1458937198067633,0.15280574649473794,False,False
LD-01,Coolant_Flow_lpm,last30,31,0.00035897893148787764,0.01076936794463633,0.604264431431193,0.049462365591397855,0.7107751828753067,False,False
LD-01,Coolant_Flow_lpm,last21,22,-0.0004695338430133076,-0.00986021070327946,0.6576364959249982,-0.047619047619047616,0.7805448221723992,False,False
LD-01,Coolant_Flow_lpm,last14,15,-0.001906441260267387,-0.02669017764374342,0.3182092942315016,-0.14285714285714288,0.4950508526248027,False,False
LD-01,Coolant_Flow_lpm,last7,8,-0.005359187862225202,-0.037514315035576416,0.4031036842618553,-0.2857142857142857,0.39875992063492066,False,False
LD-01,Clean_Flow_lpm,full,120,1.1558393072685746e-05,0.0013754487756496038,0.8656480744707578,0.010364145658263305,0.8667014440177998,False,False
LD-01,Clean_Flow_lpm,last45,46,-7.572813920032465e-05,-0.0034077662640146092,0.7848762415903443,-0.02415458937198068,0.8128865904398033,False,False
LD-01,Clean_Flow_lpm,last30,31,0.00016915763365121938,0.005074729009536582,0.7323337680594187,0.06666666666666668,0.6129743231700835,False,False
LD-01,Clean_Flow_lpm,last21,22,-0.0007796234724480467,-0.01637209292140898,0.37718518399782675,-0.08225108225108224,0.6157664135385533,False,False
LD-01,Clean_Flow_lpm,last14,15,-0.0003918945953596558,-0.005486524335035181,0.7676687621526692,0.009523809523809525,1.0,False,False
LD-01,Clean_Flow_lpm,last7,8,-0.0017219237906019075,-0.012053466534213353,0.6532350588680936,-0.07142857142857142,0.9048611111111111,False,False
LD-01,Clean_Pressure_bar,full,120,1.1184778308842271e-05,0.0013309886187522304,0.6109101876343436,0.05826330532212885,0.34538019551742805,False,False
LD-01,Clean_Pressure_bar,last45,46,-6.126358118463602e-05,-0.0027568611533086208,0.5854434160662557,-0.051207729468599035,0.6157997388896345,False,False
LD-01,Clean_Pressure_bar,last30,31,-3.697358006360719e-05,-0.0011092074019082156,0.8669175075536849,0.0021505376344086026,1.0,False,False
LD-01,Clean_Pressure_bar,last21,22,-0.0002292214571403692,-0.004813650599947753,0.5411930909272602,-0.09090909090909091,0.5770090763883768,False,False
LD-01,Clean_Pressure_bar,last14,15,-0.0011995930795542667,-0.016794303113759734,0.08707509214377111,-0.3523809523809524,0.07433498084899375,False,False
LD-01,Clean_Pressure_bar,last7,8,-0.0017497115751889999,-0.012247981026323,0.396450718388311,-0.2857142857142857,0.39875992063492066,False,False
LD-01,Clean_Time_s,full,120,0.00014708231617690642,0.017502795625051863,0.3039350580751555,0.07338935574229691,0.2346136283575876,False,False
LD-01,Clean_Time_s,last45,46,-0.0003695321248262269,-0.01662894561718021,0.5338340199979571,-0.11690821256038648,0.2519415029621829,False,False
LD-01,Clean_Time_s,last30,31,-0.0011247390806095694,-0.03374217241828708,0.23640104896217862,-0.13978494623655915,0.2792487336967667,False,False
LD-01,Clean_Time_s,last21,22,-0.0024933704620416428,-0.0523607797028745,0.11376934117394014,-0.2727272727272727,0.08028526277549888,False,False
LD-01,Clean_Time_s,last14,15,-0.00364424534369633,-0.05101943481174862,0.1792633377144557,-0.3142857142857143,0.11424717239544455,False,False
LD-01,Clean_Time_s,last7,8,-0.009923543097583244,-0.06946480168308271,0.3028831032509276,-0.3571428571428571,0.27509920634920637,False,False
LD-01,Vibration_mm_s,full,120,5.3638581279408e-05,0.006382991172249552,0.06987761349132994,0.10980392156862745,0.07535450169453137,False,False
LD-01,Vibration_mm_s,last45,46,0.00016447483288399204,0.007401367479779642,0.18071334404685999,0.17681159420289855,0.08315402284648099,False,False
LD-01,Vibration_mm_s,last30,31,0.00035504662622453667,0.0106513987867361,0.10280340377998734,0.21720430107526886,0.08928060367510404,False,False
LD-01,Vibration_mm_s,last21,22,-0.00021695068900029466,-0.004555964469006188,0.5045433359948602,-0.03896103896103896,0.8236433617484156,False,False
LD-01,Vibration_mm_s,last14,15,0.000237847549713618,0.0033298656959906523,0.6416828388321488,0.10476190476190476,0.6264945175158468,False,False
LD-01,Vibration_mm_s,last7,8,-0.0021023163639984,-0.014716214547988798,0.0916113315668892,-0.42857142857142855,0.17886904761904762,False,False
LD-02,Laser_Power_W,full,120,-5.379575942143993e-06,-0.0006401695371151352,0.7995363478193682,-0.02829131652661064,0.646819831959474,False,False
LD-02,Laser_Power_W,last45,46,9.035338520568519e-05,0.004065902334255834,0.30221583397277363,0.11690821256038648,0.2519415029621829,False,False
LD-02,Laser_Power_W,last30,31,1.6628856101371767e-05,0.000498865683041153,0.9201548118810565,0.06666666666666668,0.6129743231700835,False,False
LD-02,Laser_Power_W,last21,22,-0.00034239695533944397,-0.007190336062128324,0.21190457761002304,-0.09956709956709957,0.5394123595200279,False,False
LD-02,Laser_Power_W,last14,15,-0.0006814292552672058,-0.009540009573740882,0.12430727428123776,-0.20000000000000004,0.3282335876694342,False,False
LD-02,Laser_Power_W,last7,8,-0.0021432519343684525,-0.015002763540579167,0.06193974533439088,-0.42857142857142855,0.17886904761904762,False,False
LD-02,Laser_Frequency_kHz,full,120,-0.0001913792832883719,-0.022774134711316257,0.34820465634864106,-0.06974789915966385,0.25865164682260333,False,False
LD-02,Laser_Frequency_kHz,last45,46,0.00040863484811507085,0.018388568165178188,0.6458437300262813,0.04927536231884058,0.6291839666274123,False,False
LD-02,Laser_Frequency_kHz,last30,31,-0.0010697631166418228,-0.032092893499254684,0.46037090016598403,-0.0924731182795699,0.4785251294432295,False,False
LD-02,Laser_Frequency_kHz,last21,22,-0.003940501436164476,-0.082750530159454,0.11328711571844047,-0.26406926406926406,0.09079907642795323,False,False
LD-02,Laser_Frequency_kHz,last14,15,-0.002742063243303759,-0.038388885406252626,0.5743958665362826,-0.12380952380952381,0.5589660721223221,False,False
LD-02,Laser_Frequency_kHz,last7,8,-0.0075573721617132605,-0.052901605131992824,0.5969917768727134,-0.07142857142857142,0.9048611111111111,False,False
LD-02,Power_Efficiency_pct,full,120,8.478767954283401e-07,0.00010089733865597247,0.9750898731636665,-0.008403361344537815,0.8917466292807801,False,False
LD-02,Power_Efficiency_pct,last45,46,0.00013620725320605338,0.006129326394272402,0.22003727568501477,0.13429951690821257,0.18814950810376052,False,False
LD-02,Power_Efficiency_pct,last30,31,0.00016478722696221563,0.004943616808866469,0.44406994356507373,0.12258064516129034,0.3441531311333978,False,False
LD-02,Power_Efficiency_pct,last21,22,0.00020915182328705027,0.004392188289028056,0.5658055457121443,0.09956709956709957,0.5394123595200279,False,False
LD-02,Power_Efficiency_pct,last14,15,0.0003343695488900725,0.004681173684461015,0.6033153227467701,0.028571428571428574,0.9225700904951897,False,False
LD-02,Power_Efficiency_pct,last7,8,-0.0017645991233029197,-0.012352193863120437,0.1774548075932293,-0.42857142857142855,0.17886904761904762,False,False
LD-02,Beam_Center_Offset_um,full,120,1.0083221677698175e-05,0.0011999033796460828,0.801676407864574,0.01848739495798319,0.7646289494740353,False,False
LD-02,Beam_Center_Offset_um,last45,46,0.00017799953745029778,0.0080099791852634,0.29301679056834185,0.07632850241545895,0.45446981266527,False,False
LD-02,Beam_Center_Offset_um,last30,31,0.00023500539296398675,0.0070501617889196025,0.5041337622166815,0.03655913978494624,0.7874429024058983,False,False
LD-02,Beam_Center_Offset_um,last21,22,-0.00022290289146356944,-0.004680960720734958,0.6916407343670885,-0.12554112554112554,0.4343099494437716,False,False
LD-02,Beam_Center_Offset_um,last14,15,-0.00021992224098854655,-0.0030789113738396517,0.8008521273367535,-0.14285714285714288,0.4950508526248027,False,False
LD-02,Beam_Center_Offset_um,last7,8,-0.0020294881000467763,-0.014206416700327434,0.4590585765985409,-0.2857142857142857,0.39875992063492066,False,False
