Recipe_Version,Rev_No,Changed_Params,S1_Time_s,S1_Source_RF_W,S1_Bias_RF_W,S1_Pressure_mT,S1_Gas_Flow_sccm,S2_Time_s,S2_Source_RF_W,S2_Bias_RF_W,S2_Pressure_mT,S2_Gas_Flow_sccm,S3_Time_s,S3_Source_RF_W,S3_Bias_RF_W,S3_Pressure_mT,S3_Gas_Flow_sccm
Base,0,,60.8,938.0,198.0,16.1,132.0,62.3,955.0,204.0,16.7,137.0,60.5,937.0,207.0,16.1,130.0
Rev1,1,S3_Time_s,60.8,938.0,198.0,16.1,132.0,62.3,955.0,204.0,16.7,137.0,58.7,937.0,207.0,16.1,130.0
Rev2,2,S1_Gas_Flow_sccm|S1_Time_s|S3_Pressure_mT,66.9,938.0,198.0,16.1,131.0,62.3,955.0,204.0,16.7,137.0,58.7,937.0,207.0,15.5,130.0
Rev3,3,S3_Bias_RF_W|S3_Gas_Flow_sccm,66.9,938.0,198.0,16.1,131.0,62.3,955.0,204.0,16.7,137.0,58.7,937.0,190.0,15.5,125.0
Rev4,4,S1_Time_s|S2_Source_RF_W|S3_Gas_Flow_sccm,70.8,938.0,198.0,16.1,131.0,62.3,976.0,204.0,16.7,137.0,58.7,937.0,190.0,15.5,123.0
Rev5,5,S1_Bias_RF_W|S2_Pressure_mT|S2_Time_s,70.8,938.0,204.0,16.1,131.0,63.5,976.0,204.0,15.5,137.0,58.7,937.0,190.0,15.5,123.0
Rev6,6,S1_Gas_Flow_sccm|S1_Pressure_mT|S2_Source_RF_W,70.8,938.0,204.0,17.4,134.0,63.5,971.0,204.0,15.5,137.0,58.7,937.0,190.0,15.5,123.0
Rev7,7,S1_Pressure_mT|S3_Gas_Flow_sccm|S3_Pressure_mT,70.8,938.0,204.0,17.0,134.0,63.5,971.0,204.0,15.5,137.0,58.7,937.0,190.0,18.0,130.0
Rev8,8,S1_Source_RF_W,70.8,909.0,204.0,17.0,134.0,63.5,971.0,204.0,15.5,137.0,58.7,937.0,190.0,18.0,130.0
Rev9,9,S2_Source_RF_W,70.8,909.0,204.0,17.0,134.0,63.5,988.0,204.0,15.5,137.0,58.7,937.0,190.0,18.0,130.0
Rev10,10,S2_Pressure_mT|S3_Gas_Flow_sccm|S3_Time_s,70.8,909.0,204.0,17.0,134.0,63.5,988.0,204.0,15.4,137.0,57.8,937.0,190.0,18.0,123.0
Rev11,11,S1_Bias_RF_W|S1_Source_RF_W|S3_Bias_RF_W,70.8,929.0,221.0,17.0,134.0,63.5,988.0,204.0,15.4,137.0,57.8,937.0,203.0,18.0,123.0
