Sample_No,Recipe_Version,Rev_No,Wafer_ID,Tool_ID,Chamber_ID,Site_ID,Zone,Radius_frac,Angle_deg,Top_CD_nm,Mid_CD_nm,Bottom_CD_nm,Depth_nm,Top_CD_Pass,Mid_CD_Pass,Bottom_CD_Pass,Depth_Pass,Defect_Count,Defect_Severity,Anomaly_Event
1,Rev8,8,W001,AE-3200,CH-A,C1,Center,0.0,0.0,73.98,69.59,69.28,427.9,True,True,True,True,0,0.0,
2,Rev8,8,W001,AE-3200,CH-A,MID-01,Mid,0.52,30.0,75.25,71.15,65.94,357.0,False,True,True,False,0,0.0,
3,Rev8,8,W001,AE-3200,CH-A,MID-02,Mid,0.52,90.0,74.23,72.5,62.25,395.8,True,True,True,True,1,2.27,pressure_spike
4,Rev8,8,W001,AE-3200,CH-A,MID-03,Mid,0.52,150.0,75.85,69.96,71.47,416.6,False,True,False,True,2,11.04,
5,Rev8,8,W001,AE-3200,CH-A,MID-04,Mid,0.52,210.0,73.46,72.07,64.09,388.2,True,True,True,True,0,0.0,
6,Rev8,8,W001,AE-3200,CH-A,MID-05,Mid,0.52,270.0,74.46,72.02,72.01,391.3,True,True,False,True,1,3.59,
7,Rev8,8,W001,AE-3200,CH-A,MID-06,Mid,0.52,330.0,73.37,72.62,63.4,437.7,True,True,True,True,0,0.0,
8,Rev8,8,W001,AE-3200,CH-A,EDG-01,Edge,0.84,0.0,77.71,71.0,67.84,397.5,False,True,True,True,1,3.98,polymer_residue
9,Rev8,8,W001,AE-3200,CH-A,EDG-02,Edge,0.84,32.7,73.16,71.67,68.7,386.1,True,True,True,True,1,4.82,
10,Rev8,8,W001,AE-3200,CH-A,EDG-03,Edge,0.84,65.5,76.37,71.92,65.47,415.8,False,True,True,True,1,4.26,polymer_residue
11,Rev8,8,W001,AE-3200,CH-A,EDG-04,Edge,0.84,98.2,75.71,74.0,68.01,398.1,False,False,True,True,2,12.4,arc_event
12,Rev8,8,W001,AE-3200,CH-A,EDG-05,Edge,0.84,130.9,74.71,69.64,68.39,389.7,True,True,True,True,0,0.0,
13,Rev8,8,W001,AE-3200,CH-A,EDG-06,Edge,0.84,163.6,75.14,73.21,67.9,386.2,True,False,True,True,0,0.0,
14,Rev8,8,W001,AE-3200,CH-A,EDG-07,Edge,0.84,196.4,75.91,71.75,67.73,434.7,False,True,True,True,1,4.87,
15,Rev8,8,W001,AE-3200,CH-A,EDG-08,Edge,0.84,229.1,75.07,71.43,70.8,414.9,True,True,False,True,1,4.54,arc_event
16,Rev8,8,W001,AE-3200,CH-A,EDG-09,Edge,0.84,261.8,75.78,72.01,71.36,414.1,False,True,False,True,0,0.0,
17,Rev8,8,W001,AE-3200,CH-A,EDG-10,Edge,0.84,294.5,73.53,73.88,72.52,429.5,True,False,False,True,0,0.0,
18,Rev8,8,W001,AE-3200,CH-A,EDG-11,Edge,0.84,327.3,76.72,74.44,63.55,407.3,False,False,True,True,1,4.92,polymer_residue
19,Rev8,8,W001,AE-3200,CH-A,EXT-01,Extreme Edge,0.96,16.4,74.07,70.97,68.05,399.8,True,True,True,True,1,5.72,esc_temp_drift
20,Rev8,8,W001,AE-3200,CH-A,EXT-02,Extreme Edge,0.96,49.1,75.23,73.9,69.37,425.6,False,False,True,True,1,2.33,
21,Rev8,8,W001,AE-3200,CH-A,EXT-03,Extreme Edge,0.96,81.8,76.58,75.89,63.24,383.6,False,False,True,True,1,2.69,polymer_residue
22,Rev8,8,W001,AE-3200,CH-A,EXT-04,Extreme Edge,0.96,114.5,77.36,74.0,73.7,378.7,False,False,False,True,3,10.89,polymer_residue
23,Rev8,8,W001,AE-3200,CH-A,EXT-05,Extreme Edge,0.96,147.3,78.09,72.78,68.78,423.1,False,True,True,True,0,0.0,
24,Rev8,8,W001,AE-3200,CH-A,EXT-06,Extreme Edge,0.96,180.0,77.14,70.77,65.22,431.9,False,True,True,True,1,3.12,polymer_residue
25,Rev8,8,W001,AE-3200,CH-A,EXT-07,Extreme Edge,0.96,212.7,75.77,71.78,63.53,412.3,False,True,True,True,1,2.37,endpoint_late
26,Rev8,8,W001,AE-3200,CH-A,EXT-08,Extreme Edge,0.96,245.5,77.27,71.76,70.08,407.6,False,True,True,True,1,4.47,endpoint_late
27,Rev8,8,W001,AE-3200,CH-A,EXT-09,Extreme Edge,0.96,278.2,77.69,71.44,67.27,433.5,False,True,True,True,1,2.24,polymer_residue
28,Rev8,8,W001,AE-3200,CH-A,EXT-10,Extreme Edge,0.96,310.9,77.55,71.13,72.01,411.1,False,True,False,True,0,0.0,
29,Rev8,8,W001,AE-3200,CH-A,EXT-11,Extreme Edge,0.96,343.6,74.77,72.3,64.79,417.3,True,True,True,True,0,0.0,
30,Rev5,5,W002,AE-3200,CH-B,C1,Center,0.0,0.0,72.06,70.31,66.85,415.2,True,True,True,True,0,0.0,
31,Rev5,5,W002,AE-3200,CH-B,MID-01,Mid,0.52,30.0,73.13,68.89,63.73,406.1,True,True,True,True,0,0.0,
