Sample_No,Recipe_Version,Rev_No,Wafer_ID,Tool_ID,Chamber_ID,Site_ID,Zone,Radius_frac,Angle_deg,Top_CD_nm,Mid_CD_nm,Bottom_CD_nm,Depth_nm,Top_CD_Pass,Mid_CD_Pass,Bottom_CD_Pass,Depth_Pass,Defect_Count,Defect_Severity,Anomaly_Event
1,Base,0,W001,AE-3200,CH-A,C1,Center,0.0,0.0,2166.56,2049.69,1941.67,3103.7,True,True,True,True,1,3.53,polymer_residue
2,Base,0,W001,AE-3200,CH-A,MID-01,Mid,0.52,30.0,2165.19,2123.85,2067.06,3171.7,True,True,True,True,0,0.0,
3,Base,0,W001,AE-3200,CH-A,MID-02,Mid,0.52,90.0,2106.65,2125.29,2026.87,3087.6,True,True,True,True,0,0.0,
4,Base,0,W001,AE-3200,CH-A,MID-03,Mid,0.52,150.0,2176.55,2184.65,1967.05,3322.5,True,True,True,True,0,0.0,
5,Base,0,W001,AE-3200,CH-A,MID-04,Mid,0.52,210.0,2157.8,2139.79,2047.83,3058.7,True,True,True,True,0,0.0,
6,Base,0,W001,AE-3200,CH-A,MID-05,Mid,0.52,270.0,2185.39,2146.41,2131.72,3374.8,True,True,True,True,0,0.0,
7,Base,0,W001,AE-3200,CH-A,MID-06,Mid,0.52,330.0,2153.77,2113.96,1973.25,3180.3,True,True,True,True,0,0.0,
8,Base,0,W001,AE-3200,CH-A,EDG-01,Edge,0.84,0.0,2140.3,2127.4,2100.51,3465.1,True,True,True,True,0,0.0,
9,Base,0,W001,AE-3200,CH-A,EDG-02,Edge,0.84,32.7,2216.32,2171.97,1978.83,3149.9,True,True,True,True,0,0.0,
10,Base,0,W001,AE-3200,CH-A,EDG-03,Edge,0.84,65.5,2152.34,2141.5,2031.66,3345.2,True,True,True,True,0,0.0,
11,Base,0,W001,AE-3200,CH-A,EDG-04,Edge,0.84,98.2,2151.4,2181.56,1991.09,3230.9,True,True,True,True,0,0.0,
12,Base,0,W001,AE-3200,CH-A,EDG-05,Edge,0.84,130.9,2176.99,2176.42,2078.6,3318.4,True,True,True,True,0,0.0,
13,Base,0,W001,AE-3200,CH-A,EDG-06,Edge,0.84,163.6,2223.6,2116.55,2004.28,3324.6,True,True,True,True,0,0.0,
14,Base,0,W001,AE-3200,CH-A,EDG-07,Edge,0.84,196.4,2180.16,2156.18,1977.79,3493.4,True,True,True,True,0,0.0,
15,Base,0,W001,AE-3200,CH-A,EDG-08,Edge,0.84,229.1,2135.01,2106.15,2114.66,3261.4,True,True,True,True,1,1.89,
16,Base,0,W001,AE-3200,CH-A,EDG-09,Edge,0.84,261.8,2229.39,2060.73,1950.4,3242.8,False,True,True,True,0,0.0,
17,Base,0,W001,AE-3200,CH-A,EDG-10,Edge,0.84,294.5,2161.76,2138.52,1913.63,3427.1,True,True,True,True,0,0.0,
18,Base,0,W001,AE-3200,CH-A,EDG-11,Edge,0.84,327.3,2145.52,2164.82,1993.45,3309.5,True,True,True,True,1,4.41,
19,Base,0,W001,AE-3200,CH-A,EXT-01,Extreme Edge,0.96,16.4,2192.23,2146.33,2070.67,3318.8,True,True,True,True,1,2.19,pressure_spike
20,Base,0,W001,AE-3200,CH-A,EXT-02,Extreme Edge,0.96,49.1,2159.59,2073.19,2143.77,3278.0,True,True,True,True,0,0.0,
21,Base,0,W001,AE-3200,CH-A,EXT-03,Extreme Edge,0.96,81.8,2202.26,2166.07,2054.7,3345.1,True,True,True,True,0,0.0,
22,Base,0,W001,AE-3200,CH-A,EXT-04,Extreme Edge,0.96,114.5,2210.59,2122.03,2006.71,3339.8,True,True,True,True,0,0.0,
23,Base,0,W001,AE-3200,CH-A,EXT-05,Extreme Edge,0.96,147.3,2151.03,2100.96,2155.99,3336.8,True,True,True,True,0,0.0,
24,Base,0,W001,AE-3200,CH-A,EXT-06,Extreme Edge,0.96,180.0,2176.25,2190.94,2093.27,3469.0,True,True,True,True,0,0.0,
25,Base,0,W001,AE-3200,CH-A,EXT-07,Extreme Edge,0.96,212.7,2250.31,2175.47,2030.57,3529.5,False,True,True,False,1,4.59,
26,Base,0,W001,AE-3200,CH-A,EXT-08,Extreme Edge,0.96,245.5,2253.14,2131.54,2079.02,3319.1,False,True,True,True,1,1.97,pressure_spike
27,Base,0,W001,AE-3200,CH-A,EXT-09,Extreme Edge,0.96,278.2,2208.56,2134.23,2088.42,3094.7,True,True,True,True,1,3.13,
28,Base,0,W001,AE-3200,CH-A,EXT-10,Extreme Edge,0.96,310.9,2170.33,2157.91,2037.1,3600.5,True,True,True,False,1,2.45,polymer_residue
29,Base,0,W001,AE-3200,CH-A,EXT-11,Extreme Edge,0.96,343.6,2189.38,2200.72,2032.72,3379.9,True,False,True,True,1,2.07,polymer_residue
30,Rev10,10,W002,PX-7500,CH-C,C1,Center,0.0,0.0,2156.98,2234.54,2040.03,3404.1,True,False,True,True,0,0.0,
31,Rev10,10,W002,PX-7500,CH-C,MID-01,Mid,0.52,30.0,2186.93,2190.05,2086.45,3363.8,True,True,True,True,0,0.0,
32,Rev10,10,W002,PX-7500,CH-C,MID-02,Mid,0.52,90.0,2236.01,2229.28,2140.93,3410.6,False,False,True,True,0,0.0,
33,Rev10,10,W002,PX-7500,CH-C,MID-03,Mid,0.52,150.0,2153.72,2206.4,2031.0,3434.3,True,False,True,True,2,7.51,arc_event
34,Rev10,10,W002,PX-7500,CH-C,MID-04,Mid,0.52,210.0,2189.19,2170.88,2066.37,3440.9,True,True,True,True,1,6.26,polymer_residue
35,Rev10,10,W002,PX-7500,CH-C,MID-05,Mid,0.52,270.0,2173.63,2212.87,2116.74,3669.1,True,False,True,False,0,0.0,
36,Rev10,10,W002,PX-7500,CH-C,MID-06,Mid,0.52,330.0,2177.41,2198.95,2128.81,3500.5,True,False,True,False,1,2.02,polymer_residue
37,Rev10,10,W002,PX-7500,CH-C,EDG-01,Edge,0.84,0.0,2182.73,2172.21,2170.65,3730.8,True,True,False,False,2,9.64,pressure_spike
38,Rev10,10,W002,PX-7500,CH-C,EDG-02,Edge,0.84,32.7,2205.24,2218.93,2186.18,3372.0,True,False,False,True,0,0.0,
39,Rev10,10,W002,PX-7500,CH-C,EDG-03,Edge,0.84,65.5,2223.59,2166.66,2105.74,3426.5,True,True,True,True,1,2.64,
40,Rev10,10,W002,PX-7500,CH-C,EDG-04,Edge,0.84,98.2,2170.83,2215.04,2114.07,3537.3,True,False,True,False,1,4.29,polymer_residue
41,Rev10,10,W002,PX-7500,CH-C,EDG-05,Edge,0.84,130.9,2224.11,2214.6,2158.8,3389.1,True,False,True,True,1,5.97,
42,Rev10,10,W002,PX-7500,CH-C,EDG-06,Edge,0.84,163.6,2189.53,2189.83,2175.17,3599.7,True,True,False,False,1,3.26,
43,Rev10,10,W002,PX-7500,CH-C,EDG-07,Edge,0.84,196.4,2241.27,2207.13,2147.33,3275.3,False,False,True,True,1,5.56,polymer_residue
44,Rev10,10,W002,PX-7500,CH-C,EDG-08,Edge,0.84,229.1,2182.68,2221.46,2091.77,3279.6,True,False,True,True,0,0.0,
45,Rev10,10,W002,PX-7500,CH-C,EDG-09,Edge,0.84,261.8,2196.54,2254.4,2045.28,3398.8,True,False,True,True,0,0.0,
46,Rev10,10,W002,PX-7500,CH-C,EDG-10,Edge,0.84,294.5,2205.24,2143.5,2147.61,3356.8,True,True,True,True,0,0.0,
47,Rev10,10,W002,PX-7500,CH-C,EDG-11,Edge,0.84,327.3,2274.4,2184.82,2092.17,3450.9,False,True,True,True,0,0.0,
48,Rev10,10,W002,PX-7500,CH-C,EXT-01,Extreme Edge,0.96,16.4,2204.3,2252.54,2171.14,3670.5,True,False,False,False,1,5.4,polymer_residue
49,Rev10,10,W002,PX-7500,CH-C,EXT-02,Extreme Edge,0.96,49.1,2253.04,2194.31,2146.89,3755.3,False,True,True,False,0,0.0,
50,Rev10,10,W002,PX-7500,CH-C,EXT-03,Extreme Edge,0.96,81.8,2255.02,2167.29,2169.26,3361.3,False,True,True,True,0,0.0,
51,Rev10,10,W002,PX-7500,CH-C,EXT-04,Extreme Edge,0.96,114.5,2201.81,2217.29,2123.33,3405.3,True,False,True,True,1,3.25,
52,Rev10,10,W002,PX-7500,CH-C,EXT-05,Extreme Edge,0.96,147.3,2215.51,2192.17,2121.87,3603.7,True,True,True,False,3,16.64,polymer_residue
53,Rev10,10,W002,PX-7500,CH-C,EXT-06,Extreme Edge,0.96,180.0,2207.01,2194.87,2137.28,3461.1,True,True,True,True,0,0.0,
54,Rev10,10,W002,PX-7500,CH-C,EXT-07,Extreme Edge,0.96,212.7,2227.73,2245.84,2107.69,3405.4,False,False,True,True,0,0.0,
55,Rev10,10,W002,PX-7500,CH-C,EXT-08,Extreme Edge,0.96,245.5,2196.41,2217.64,2170.13,3468.7,True,False,False,True,0,0.0,
56,Rev10,10,W002,PX-7500,CH-C,EXT-09,Extreme Edge,0.96,278.2,2210.05,2244.49,2102.97,3406.3,True,False,True,True,0,0.0,
57,Rev10,10,W002,PX-7500,CH-C,EXT-10,Extreme Edge,0.96,310.9,2287.08,2183.15,2116.6,3508.5,False,True,True,False,1,1.93,endpoint_late
58,Rev10,10,W002,PX-7500,CH-C,EXT-11,Extreme Edge,0.96,343.6,2226.0,2236.7,2157.94,3180.1,False,False,True,True,0,0.0,
59,Rev8,8,W003,AE-3200,CH-A,C1,Center,0.0,0.0,2167.28,2106.53,1991.37,3387.2,True,True,True,True,0,0.0,
60,Rev8,8,W003,AE-3200,CH-A,MID-01,Mid,0.52,30.0,2206.69,2106.51,2132.02,3486.4,True,True,True,True,0,0.0,
61,Rev8,8,W003,AE-3200,CH-A,MID-02,Mid,0.52,90.0,2158.22,2126.96,2098.55,3385.2,True,True,True,True,0,0.0,
62,Rev8,8,W003,AE-3200,CH-A,MID-03,Mid,0.52,150.0,2146.45,2134.49,2150.06,3303.3,True,True,True,True,0,0.0,
63,Rev8,8,W003,AE-3200,CH-A,MID-04,Mid,0.52,210.0,2166.83,2146.5,2111.42,3125.5,True,True,True,True,0,0.0,
64,Rev8,8,W003,AE-3200,CH-A,MID-05,Mid,0.52,270.0,2169.42,2113.11,1997.02,3436.2,True,True,True,True,1,2.4,
65,Rev8,8,W003,AE-3200,CH-A,MID-06,Mid,0.52,330.0,2177.19,2105.17,1991.44,3362.1,True,True,True,True,1,3.91,endpoint_late
66,Rev8,8,W003,AE-3200,CH-A,EDG-01,Edge,0.84,0.0,2228.59,2132.62,2095.62,3434.7,False,True,True,True,0,0.0,
67,Rev8,8,W003,AE-3200,CH-A,EDG-02,Edge,0.84,32.7,2229.94,2124.87,2051.94,3719.6,False,True,True,False,1,1.97,arc_event
68,Rev8,8,W003,AE-3200,CH-A,EDG-03,Edge,0.84,65.5,2229.41,2178.58,2053.92,3413.0,False,True,True,True,1,5.8,
69,Rev8,8,W003,AE-3200,CH-A,EDG-04,Edge,0.84,98.2,2228.3,2184.61,2106.82,3479.0,False,True,True,True,0,0.0,
70,Rev8,8,W003,AE-3200,CH-A,EDG-05,Edge,0.84,130.9,2186.71,2128.89,2066.05,3480.2,True,True,True,True,0,0.0,
71,Rev8,8,W003,AE-3200,CH-A,EDG-06,Edge,0.84,163.6,2202.24,2176.08,2115.65,3451.8,True,True,True,True,0,0.0,
72,Rev8,8,W003,AE-3200,CH-A,EDG-07,Edge,0.84,196.4,2193.35,2172.5,2098.34,3371.2,True,True,True,True,0,0.0,
73,Rev8,8,W003,AE-3200,CH-A,EDG-08,Edge,0.84,229.1,2153.68,2119.64,2186.91,3428.4,True,True,False,True,1,2.61,polymer_residue
74,Rev8,8,W003,AE-3200,CH-A,EDG-09,Edge,0.84,261.8,2219.15,2140.37,2115.0,3475.3,True,True,True,True,1,5.48,
75,Rev8,8,W003,AE-3200,CH-A,EDG-10,Edge,0.84,294.5,2198.8,2135.77,2170.21,3440.3,True,True,False,True,0,0.0,
76,Rev8,8,W003,AE-3200,CH-A,EDG-11,Edge,0.84,327.3,2197.34,2208.27,2030.16,3525.0,True,False,True,False,0,0.0,
77,Rev8,8,W003,AE-3200,CH-A,EXT-01,Extreme Edge,0.96,16.4,2166.71,2144.24,2075.51,3561.5,True,True,True,False,2,7.13,
78,Rev8,8,W003,AE-3200,CH-A,EXT-02,Extreme Edge,0.96,49.1,2209.39,2140.25,2144.98,3456.2,True,True,True,True,1,6.39,polymer_residue
79,Rev8,8,W003,AE-3200,CH-A,EXT-03,Extreme Edge,0.96,81.8,2222.84,2166.39,1950.56,3465.7,True,True,True,True,2,7.97,
80,Rev8,8,W003,AE-3200,CH-A,EXT-04,Extreme Edge,0.96,114.5,2162.64,2154.53,2091.34,3839.5,True,True,True,False,2,11.79,polymer_residue
81,Rev8,8,W003,AE-3200,CH-A,EXT-05,Extreme Edge,0.96,147.3,2254.36,2135.21,2039.26,3397.9,False,True,True,True,1,3.86,esc_temp_drift
82,Rev8,8,W003,AE-3200,CH-A,EXT-06,Extreme Edge,0.96,180.0,2198.05,2185.1,2055.01,3426.2,True,True,True,True,0,0.0,
83,Rev8,8,W003,AE-3200,CH-A,EXT-07,Extreme Edge,0.96,212.7,2236.02,2155.45,2161.33,3561.4,False,True,True,False,0,0.0,
84,Rev8,8,W003,AE-3200,CH-A,EXT-08,Extreme Edge,0.96,245.5,2193.5,2210.61,2161.2,3295.0,True,False,True,True,0,0.0,
85,Rev8,8,W003,AE-3200,CH-A,EXT-09,Extreme Edge,0.96,278.2,2211.59,2106.81,2186.62,3501.1,True,True,False,False,0,0.0,
86,Rev8,8,W003,AE-3200,CH-A,EXT-10,Extreme Edge,0.96,310.9,2235.47,2181.09,2118.16,3295.8,False,True,True,True,1,3.9,
87,Rev8,8,W003,AE-3200,CH-A,EXT-11,Extreme Edge,0.96,343.6,2201.04,2179.48,2073.81,3187.8,True,True,True,True,0,0.0,
88,Rev5,5,W004,AE-3200,CH-B,C1,Center,0.0,0.0,2043.22,2169.91,1972.56,3155.1,False,True,True,True,0,0.0,
89,Rev5,5,W004,AE-3200,CH-B,MID-01,Mid,0.52,30.0,2113.73,2152.16,2030.0,3145.0,True,True,True,True,0,0.0,
90,Rev5,5,W004,AE-3200,CH-B,MID-02,Mid,0.52,90.0,2155.26,2211.76,2023.34,3278.1,True,False,True,True,0,0.0,
91,Rev5,5,W004,AE-3200,CH-B,MID-03,Mid,0.52,150.0,2156.12,2125.46,2127.3,3261.7,True,True,True,True,0,0.0,
92,Rev5,5,W004,AE-3200,CH-B,MID-04,Mid,0.52,210.0,2113.76,2217.3,2200.46,3153.9,True,False,False,True,1,1.95,polymer_residue
93,Rev5,5,W004,AE-3200,CH-B,MID-05,Mid,0.52,270.0,2109.03,2163.26,2015.28,3073.9,True,True,True,True,0,0.0,
94,Rev5,5,W004,AE-3200,CH-B,MID-06,Mid,0.52,330.0,2113.17,2203.64,2114.02,3283.5,True,False,True,True,1,2.26,
95,Rev5,5,W004,AE-3200,CH-B,EDG-01,Edge,0.84,0.0,2156.44,2167.87,2082.98,3252.4,True,True,True,True,0,0.0,
96,Rev5,5,W004,AE-3200,CH-B,EDG-02,Edge,0.84,32.7,2171.02,2180.64,2043.6,3228.0,True,True,True,True,2,6.83,
97,Rev5,5,W004,AE-3200,CH-B,EDG-03,Edge,0.84,65.5,2144.46,2141.51,2043.2,3371.1,True,True,True,True,0,0.0,
98,Rev5,5,W004,AE-3200,CH-B,EDG-04,Edge,0.84,98.2,2170.79,2198.56,2062.5,3309.6,True,False,True,True,0,0.0,
99,Rev5,5,W004,AE-3200,CH-B,EDG-05,Edge,0.84,130.9,2107.64,2178.15,2045.3,3305.4,True,True,True,True,2,4.54,
100,Rev5,5,W004,AE-3200,CH-B,EDG-06,Edge,0.84,163.6,2151.92,2192.88,2070.79,3318.2,True,True,True,True,2,3.85,
101,Rev5,5,W004,AE-3200,CH-B,EDG-07,Edge,0.84,196.4,2184.58,2130.65,2042.95,3206.4,True,True,True,True,1,3.14,
102,Rev5,5,W004,AE-3200,CH-B,EDG-08,Edge,0.84,229.1,2158.22,2162.72,2069.18,3295.4,True,True,True,True,0,0.0,
103,Rev5,5,W004,AE-3200,CH-B,EDG-09,Edge,0.84,261.8,2182.82,2163.31,2050.14,3423.3,True,True,True,True,0,0.0,
104,Rev5,5,W004,AE-3200,CH-B,EDG-10,Edge,0.84,294.5,2156.84,2147.36,2097.8,3297.3,True,True,True,True,0,0.0,
105,Rev5,5,W004,AE-3200,CH-B,EDG-11,Edge,0.84,327.3,2163.85,2213.32,2029.83,3147.2,True,False,True,True,0,0.0,
106,Rev5,5,W004,AE-3200,CH-B,EXT-01,Extreme Edge,0.96,16.4,2165.39,2231.37,2151.98,3089.9,True,False,True,True,0,0.0,
107,Rev5,5,W004,AE-3200,CH-B,EXT-02,Extreme Edge,0.96,49.1,2177.86,2220.08,2138.03,3193.7,True,False,True,True,0,0.0,
108,Rev5,5,W004,AE-3200,CH-B,EXT-03,Extreme Edge,0.96,81.8,2198.53,2183.72,2129.26,3340.7,True,True,True,True,0,0.0,
109,Rev5,5,W004,AE-3200,CH-B,EXT-04,Extreme Edge,0.96,114.5,2136.29,2153.61,2107.69,3017.4,True,True,True,True,2,5.49,arc_event
110,Rev5,5,W004,AE-3200,CH-B,EXT-05,Extreme Edge,0.96,147.3,2137.18,2223.51,2092.29,3094.8,True,False,True,True,0,0.0,
111,Rev5,5,W004,AE-3200,CH-B,EXT-06,Extreme Edge,0.96,180.0,2148.44,2227.92,2117.57,3240.5,True,False,True,True,0,0.0,
112,Rev5,5,W004,AE-3200,CH-B,EXT-07,Extreme Edge,0.96,212.7,2158.78,2208.12,2059.3,3155.6,True,False,True,True,0,0.0,
113,Rev5,5,W004,AE-3200,CH-B,EXT-08,Extreme Edge,0.96,245.5,2176.52,2182.9,2016.25,3318.0,True,True,True,True,0,0.0,
114,Rev5,5,W004,AE-3200,CH-B,EXT-09,Extreme Edge,0.96,278.2,2141.12,2166.59,2058.44,3235.3,True,True,True,True,1,5.9,
115,Rev5,5,W004,AE-3200,CH-B,EXT-10,Extreme Edge,0.96,310.9,2178.6,2194.92,2025.23,3447.2,True,True,True,True,0,0.0,
116,Rev5,5,W004,AE-3200,CH-B,EXT-11,Extreme Edge,0.96,343.6,2121.84,2229.11,2129.22,3225.3,True,False,True,True,0,0.0,
117,Rev4,4,W005,AE-3200,CH-A,C1,Center,0.0,0.0,2132.45,2063.6,1981.11,3053.0,True,True,True,True,0,0.0,
118,Rev4,4,W005,AE-3200,CH-A,MID-01,Mid,0.52,30.0,2159.48,2182.4,2084.93,3350.9,True,True,True,True,0,0.0,
119,Rev4,4,W005,AE-3200,CH-A,MID-02,Mid,0.52,90.0,2178.25,2134.47,2058.05,3197.8,True,True,True,True,0,0.0,
120,Rev4,4,W005,AE-3200,CH-A,MID-03,Mid,0.52,150.0,2136.62,2132.2,2045.04,3228.9,True,True,True,True,0,0.0,
121,Rev4,4,W005,AE-3200,CH-A,MID-04,Mid,0.52,210.0,2153.25,2120.47,2052.0,3225.4,True,True,True,True,0,0.0,
122,Rev4,4,W005,AE-3200,CH-A,MID-05,Mid,0.52,270.0,2141.53,2136.94,2076.82,3197.6,True,True,True,True,0,0.0,
123,Rev4,4,W005,AE-3200,CH-A,MID-06,Mid,0.52,330.0,2172.11,2166.84,2058.72,3400.6,True,True,True,True,0,0.0,
124,Rev4,4,W005,AE-3200,CH-A,EDG-01,Edge,0.84,0.0,2161.24,2128.56,2197.12,3120.6,True,True,False,True,1,3.21,endpoint_late
125,Rev4,4,W005,AE-3200,CH-A,EDG-02,Edge,0.84,32.7,2210.73,2177.68,2068.99,3334.2,True,True,True,True,0,0.0,
126,Rev4,4,W005,AE-3200,CH-A,EDG-03,Edge,0.84,65.5,2227.35,2153.64,2102.85,3294.6,False,True,True,True,1,5.39,
127,Rev4,4,W005,AE-3200,CH-A,EDG-04,Edge,0.84,98.2,2227.33,2132.72,2070.8,3265.7,False,True,True,True,1,4.17,arc_event
128,Rev4,4,W005,AE-3200,CH-A,EDG-05,Edge,0.84,130.9,2188.84,2184.56,2094.09,3241.1,True,True,True,True,0,0.0,
129,Rev4,4,W005,AE-3200,CH-A,EDG-06,Edge,0.84,163.6,2140.18,2162.18,2082.32,3121.2,True,True,True,True,1,3.36,arc_event
130,Rev4,4,W005,AE-3200,CH-A,EDG-07,Edge,0.84,196.4,2164.65,2150.72,1999.15,3381.9,True,True,True,True,1,2.63,
131,Rev4,4,W005,AE-3200,CH-A,EDG-08,Edge,0.84,229.1,2142.87,2125.3,1997.89,3293.8,True,True,True,True,1,2.1,pressure_spike
