Recipe_Version,Rev_No,Changed_Params,S1_Time_s,S1_Source_RF_W,S1_Bias_RF_W,S1_Pressure_mT,S1_Gas_Flow_sccm,S1_Gas2_Flow_sccm,S2_Time_s,S2_Source_RF_W,S2_Bias_RF_W,S2_Pressure_mT,S2_Gas_Flow_sccm,S2_Gas2_Flow_sccm
Base,0,,62.0,953.0,201.0,16.5,140.0,50.0,61.7,952.0,213.0,17.3,139.0,52.0
Rev1,1,S1_Gas_Flow_sccm,62.0,953.0,201.0,16.5,145.0,50.0,61.7,952.0,213.0,17.3,139.0,52.0
Rev2,2,S1_Gas2_Flow_sccm,62.0,953.0,201.0,16.5,145.0,50.0,61.7,952.0,213.0,17.3,139.0,52.0
Rev3,3,S2_Gas2_Flow_sccm,62.0,953.0,201.0,16.5,145.0,50.0,61.7,952.0,213.0,17.3,139.0,55.0
Rev4,4,S1_Gas2_Flow_sccm|S1_Pressure_mT|S2_Time_s,62.0,953.0,201.0,17.1,145.0,54.0,64.1,952.0,213.0,17.3,139.0,55.0
Rev5,5,S1_Source_RF_W|S2_Gas_Flow_sccm,62.0,964.0,201.0,17.1,145.0,54.0,64.1,952.0,213.0,17.3,135.0,55.0
Rev6,6,S1_Bias_RF_W|S1_Pressure_mT,62.0,964.0,217.0,19.6,145.0,54.0,64.1,952.0,213.0,17.3,135.0,55.0
Rev7,7,S2_Source_RF_W,62.0,964.0,217.0,19.6,145.0,54.0,64.1,893.0,213.0,17.3,135.0,55.0
Rev8,8,S2_Bias_RF_W|S2_Pressure_mT|S2_Source_RF_W,62.0,964.0,217.0,19.6,145.0,54.0,64.1,862.0,213.0,15.4,135.0,55.0
Rev9,9,S1_Gas_Flow_sccm|S2_Time_s,62.0,964.0,217.0,19.6,150.0,54.0,73.6,862.0,213.0,15.4,135.0,55.0
Rev10,10,S1_Source_RF_W|S2_Gas2_Flow_sccm|S2_Source_RF_W,62.0,980.0,217.0,19.6,150.0,54.0,73.6,874.0,213.0,15.4,135.0,59.0
Rev11,11,S1_Gas2_Flow_sccm|S2_Gas2_Flow_sccm|S2_Time_s,62.0,980.0,217.0,19.6,150.0,52.0,79.7,874.0,213.0,15.4,135.0,68.0
