Sample_No,Recipe_Version,Rev_No,Wafer_ID,Tool_ID,Chamber_ID,Site_ID,Zone,Radius_frac,Angle_deg,Top_CD_nm,Mid_CD_nm,Bottom_CD_nm,Depth_A,Top_CD_Pass,Mid_CD_Pass,Bottom_CD_Pass,Depth_Pass,Defect_Count,Defect_Severity,Anomaly_Event
1,Rev1,1,W001,AE-3200,CH-B,C1,Center,0.0,0.0,38.84,41.15,36.78,1630.3,True,True,True,True,0,0.0,
2,Rev1,1,W001,AE-3200,CH-B,MID-01,Mid,0.52,30.0,38.91,39.85,37.62,1631.9,True,True,True,True,0,0.0,
3,Rev1,1,W001,AE-3200,CH-B,MID-02,Mid,0.52,90.0,39.8,41.5,38.37,1704.9,True,True,True,True,0,0.0,
4,Rev1,1,W001,AE-3200,CH-B,MID-03,Mid,0.52,150.0,39.78,39.7,38.96,1687.8,True,True,True,True,0,0.0,
5,Rev1,1,W001,AE-3200,CH-B,MID-04,Mid,0.52,210.0,40.28,39.8,38.18,1707.0,True,True,True,True,0,0.0,
6,Rev1,1,W001,AE-3200,CH-B,MID-05,Mid,0.52,270.0,39.27,40.25,40.32,1620.2,True,True,True,True,0,0.0,
7,Rev1,1,W001,AE-3200,CH-B,MID-06,Mid,0.52,330.0,39.43,40.42,38.96,1612.7,True,True,True,True,1,4.85,
8,Rev1,1,W001,AE-3200,CH-B,EDG-01,Edge,0.84,0.0,40.7,41.03,36.74,1603.4,False,True,True,True,0,0.0,
9,Rev1,1,W001,AE-3200,CH-B,EDG-02,Edge,0.84,32.7,39.12,42.07,39.64,1615.3,True,False,True,True,1,4.85,
10,Rev1,1,W001,AE-3200,CH-B,EDG-03,Edge,0.84,65.5,41.39,40.58,38.77,1706.2,False,True,True,True,0,0.0,
11,Rev1,1,W001,AE-3200,CH-B,EDG-04,Edge,0.84,98.2,41.76,40.54,37.59,1732.1,False,True,True,True,1,3.72,esc_temp_drift
12,Rev1,1,W001,AE-3200,CH-B,EDG-05,Edge,0.84,130.9,40.67,40.63,38.45,1687.8,False,True,True,True,0,0.0,
13,Rev1,1,W001,AE-3200,CH-B,EDG-06,Edge,0.84,163.6,40.85,41.48,39.57,1664.2,False,True,True,True,0,0.0,
14,Rev1,1,W001,AE-3200,CH-B,EDG-07,Edge,0.84,196.4,40.07,42.13,38.65,1716.3,True,False,True,True,1,2.82,
15,Rev1,1,W001,AE-3200,CH-B,EDG-08,Edge,0.84,229.1,41.48,41.5,38.85,1745.5,False,True,True,True,0,0.0,
16,Rev1,1,W001,AE-3200,CH-B,EDG-09,Edge,0.84,261.8,41.17,42.35,38.46,1656.6,False,False,True,True,0,0.0,
17,Rev1,1,W001,AE-3200,CH-B,EDG-10,Edge,0.84,294.5,41.5,41.86,39.18,1732.3,False,True,True,True,0,0.0,
18,Rev1,1,W001,AE-3200,CH-B,EDG-11,Edge,0.84,327.3,41.1,41.77,38.48,1700.6,False,True,True,True,0,0.0,
19,Rev1,1,W001,AE-3200,CH-B,EXT-01,Extreme Edge,0.96,16.4,42.48,41.26,38.48,1663.8,False,True,True,True,1,2.53,
20,Rev1,1,W001,AE-3200,CH-B,EXT-02,Extreme Edge,0.96,49.1,41.93,41.49,35.69,1781.7,False,True,True,False,0,0.0,
21,Rev1,1,W001,AE-3200,CH-B,EXT-03,Extreme Edge,0.96,81.8,41.64,41.65,40.28,1718.6,False,True,True,True,2,5.81,esc_temp_drift
22,Rev1,1,W001,AE-3200,CH-B,EXT-04,Extreme Edge,0.96,114.5,41.47,41.15,36.52,1747.6,False,True,True,True,1,1.94,arc_event
23,Rev1,1,W001,AE-3200,CH-B,EXT-05,Extreme Edge,0.96,147.3,41.96,41.82,39.48,1723.5,False,True,True,True,2,9.24,
24,Rev1,1,W001,AE-3200,CH-B,EXT-06,Extreme Edge,0.96,180.0,41.25,41.49,38.85,1671.3,False,True,True,True,1,3.64,
25,Rev1,1,W001,AE-3200,CH-B,EXT-07,Extreme Edge,0.96,212.7,41.56,41.34,39.17,1722.6,False,True,True,True,0,0.0,
26,Rev1,1,W001,AE-3200,CH-B,EXT-08,Extreme Edge,0.96,245.5,41.83,41.04,38.6,1724.6,False,True,True,True,0,0.0,
27,Rev1,1,W001,AE-3200,CH-B,EXT-09,Extreme Edge,0.96,278.2,41.49,41.6,37.28,1723.2,False,True,True,True,0,0.0,
28,Rev1,1,W001,AE-3200,CH-B,EXT-10,Extreme Edge,0.96,310.9,41.15,42.5,39.44,1691.1,False,False,True,True,0,0.0,
29,Rev1,1,W001,AE-3200,CH-B,EXT-11,Extreme Edge,0.96,343.6,41.31,40.72,37.88,1661.6,False,True,True,True,0,0.0,
30,Rev5,5,W002,AE-3200,CH-B,C1,Center,0.0,0.0,38.24,39.4,36.64,1672.9,True,True,True,True,0,0.0,
31,Rev5,5,W002,AE-3200,CH-B,MID-01,Mid,0.52,30.0,39.07,40.46,37.25,1712.5,True,True,True,True,0,0.0,
32,Rev5,5,W002,AE-3200,CH-B,MID-02,Mid,0.52,90.0,40.07,39.0,34.8,1669.0,True,True,True,True,0,0.0,
33,Rev5,5,W002,AE-3200,CH-B,MID-03,Mid,0.52,150.0,39.24,39.93,36.97,1678.1,True,True,True,True,0,0.0,
34,Rev5,5,W002,AE-3200,CH-B,MID-04,Mid,0.52,210.0,39.7,41.09,39.95,1751.1,True,True,True,True,0,0.0,
35,Rev5,5,W002,AE-3200,CH-B,MID-05,Mid,0.52,270.0,38.72,40.89,35.79,1666.4,True,True,True,True,0,0.0,
36,Rev5,5,W002,AE-3200,CH-B,MID-06,Mid,0.52,330.0,39.53,41.45,36.0,1715.4,True,True,True,True,0,0.0,
37,Rev5,5,W002,AE-3200,CH-B,EDG-01,Edge,0.84,0.0,40.67,40.29,36.93,1663.1,False,True,True,True,0,0.0,
38,Rev5,5,W002,AE-3200,CH-B,EDG-02,Edge,0.84,32.7,40.56,41.18,39.53,1679.0,False,True,True,True,3,13.9,esc_temp_drift
39,Rev5,5,W002,AE-3200,CH-B,EDG-03,Edge,0.84,65.5,40.08,41.3,36.39,1729.5,True,True,True,True,0,0.0,
40,Rev5,5,W002,AE-3200,CH-B,EDG-04,Edge,0.84,98.2,39.89,41.42,38.51,1562.8,True,True,True,False,1,3.66,polymer_residue
41,Rev5,5,W002,AE-3200,CH-B,EDG-05,Edge,0.84,130.9,39.98,40.55,35.96,1667.4,True,True,True,True,0,0.0,
42,Rev5,5,W002,AE-3200,CH-B,EDG-06,Edge,0.84,163.6,39.15,42.08,36.32,1646.8,True,False,True,True,3,8.47,pressure_spike
43,Rev5,5,W002,AE-3200,CH-B,EDG-07,Edge,0.84,196.4,39.54,41.94,35.61,1675.9,True,True,True,True,1,6.06,pressure_spike
44,Rev5,5,W002,AE-3200,CH-B,EDG-08,Edge,0.84,229.1,40.16,41.3,35.57,1697.0,True,True,True,True,0,0.0,
45,Rev5,5,W002,AE-3200,CH-B,EDG-09,Edge,0.84,261.8,40.3,40.51,35.23,1664.6,True,True,True,True,0,0.0,
46,Rev5,5,W002,AE-3200,CH-B,EDG-10,Edge,0.84,294.5,40.27,42.08,38.55,1690.4,True,False,True,True,0,0.0,
47,Rev5,5,W002,AE-3200,CH-B,EDG-11,Edge,0.84,327.3,39.7,41.18,38.6,1629.3,True,True,True,True,0,0.0,
48,Rev5,5,W002,AE-3200,CH-B,EXT-01,Extreme Edge,0.96,16.4,40.6,40.09,38.11,1720.2,False,True,True,True,1,4.89,
49,Rev5,5,W002,AE-3200,CH-B,EXT-02,Extreme Edge,0.96,49.1,39.1,42.05,36.32,1671.5,True,False,True,True,1,2.25,polymer_residue
50,Rev5,5,W002,AE-3200,CH-B,EXT-03,Extreme Edge,0.96,81.8,40.75,42.27,39.03,1653.5,False,False,True,True,1,5.75,polymer_residue
51,Rev5,5,W002,AE-3200,CH-B,EXT-04,Extreme Edge,0.96,114.5,40.64,42.35,37.89,1749.4,False,False,True,True,0,0.0,
52,Rev5,5,W002,AE-3200,CH-B,EXT-05,Extreme Edge,0.96,147.3,40.01,43.01,41.0,1675.5,True,False,False,True,1,3.01,polymer_residue
53,Rev5,5,W002,AE-3200,CH-B,EXT-06,Extreme Edge,0.96,180.0,40.86,41.91,37.42,1767.3,False,True,True,False,0,0.0,
54,Rev5,5,W002,AE-3200,CH-B,EXT-07,Extreme Edge,0.96,212.7,40.06,40.32,39.93,1754.9,True,True,True,True,2,12.89,esc_temp_drift
55,Rev5,5,W002,AE-3200,CH-B,EXT-08,Extreme Edge,0.96,245.5,41.07,42.34,39.16,1703.4,False,False,True,True,1,1.83,pressure_spike
56,Rev5,5,W002,AE-3200,CH-B,EXT-09,Extreme Edge,0.96,278.2,40.84,41.68,37.31,1636.5,False,True,True,True,0,0.0,
57,Rev5,5,W002,AE-3200,CH-B,EXT-10,Extreme Edge,0.96,310.9,40.13,41.18,37.48,1781.9,True,True,True,False,0,0.0,
58,Rev5,5,W002,AE-3200,CH-B,EXT-11,Extreme Edge,0.96,343.6,39.77,41.21,36.56,1760.6,True,True,True,False,0,0.0,
59,Rev11,11,W003,PX-7500,CH-D,C1,Center,0.0,0.0,39.11,38.78,37.35,1695.6,True,True,True,True,1,5.23,pressure_spike
60,Rev11,11,W003,PX-7500,CH-D,MID-01,Mid,0.52,30.0,38.81,40.9,37.92,1714.6,True,True,True,True,0,0.0,
61,Rev11,11,W003,PX-7500,CH-D,MID-02,Mid,0.52,90.0,39.91,41.35,36.94,1678.4,True,True,True,True,1,2.29,endpoint_late
62,Rev11,11,W003,PX-7500,CH-D,MID-03,Mid,0.52,150.0,39.45,39.99,36.88,1679.2,True,True,True,True,0,0.0,
