Recipe_Version,Rev_No,Changed_Params,S1_Time_s,S1_Source_RF_W,S1_Bias_RF_W,S1_Pressure_mT,S1_Gas_Flow_sccm,S2_Time_s,S2_Source_RF_W,S2_Bias_RF_W,S2_Pressure_mT,S2_Gas_Flow_sccm,S3_Time_s,S3_Source_RF_W,S3_Bias_RF_W,S3_Pressure_mT,S3_Gas_Flow_sccm,S4_Time_s,S4_Source_RF_W,S4_Bias_RF_W,S4_Pressure_mT,S4_Gas_Flow_sccm
Base,0,,62.0,960.0,204.0,16.7,137.0,63.5,960.0,204.0,16.6,133.0,62.5,938.0,204.0,16.3,131.0,61.8,948.0,197.0,16.5,135.0
Rev1,1,S1_Gas_Flow_sccm|S2_Gas_Flow_sccm,62.0,960.0,204.0,16.7,132.0,63.5,960.0,204.0,16.6,145.0,62.5,938.0,204.0,16.3,131.0,61.8,948.0,197.0,16.5,135.0
Rev2,2,S1_Time_s|S3_Time_s|S4_Bias_RF_W,56.5,960.0,204.0,16.7,132.0,63.5,960.0,204.0,16.6,145.0,61.0,938.0,204.0,16.3,131.0,61.8,948.0,172.0,16.5,135.0
Rev3,3,S3_Bias_RF_W|S4_Gas_Flow_sccm,56.5,960.0,204.0,16.7,132.0,63.5,960.0,204.0,16.6,145.0,61.0,938.0,205.0,16.3,131.0,61.8,948.0,172.0,16.5,136.0
Rev4,4,S4_Time_s,56.5,960.0,204.0,16.7,132.0,63.5,960.0,204.0,16.6,145.0,61.0,938.0,205.0,16.3,131.0,62.3,948.0,172.0,16.5,136.0
Rev5,5,S1_Gas_Flow_sccm,56.5,960.0,204.0,16.7,141.0,63.5,960.0,204.0,16.6,145.0,61.0,938.0,205.0,16.3,131.0,62.3,948.0,172.0,16.5,136.0
Rev6,6,S4_Gas_Flow_sccm|S4_Time_s,56.5,960.0,204.0,16.7,141.0,63.5,960.0,204.0,16.6,145.0,61.0,938.0,205.0,16.3,131.0,65.9,948.0,172.0,16.5,134.0
Rev7,7,S3_Gas_Flow_sccm|S4_Time_s,56.5,960.0,204.0,16.7,141.0,63.5,960.0,204.0,16.6,145.0,61.0,938.0,205.0,16.3,136.0,70.6,948.0,172.0,16.5,134.0
Rev8,8,S1_Pressure_mT|S3_Source_RF_W,56.5,960.0,204.0,16.1,141.0,63.5,960.0,204.0,16.6,145.0,61.0,941.0,205.0,16.3,136.0,70.6,948.0,172.0,16.5,134.0
Rev9,9,S1_Source_RF_W|S1_Time_s|S2_Gas_Flow_sccm,64.2,948.0,204.0,16.1,141.0,63.5,960.0,204.0,16.6,139.0,61.0,941.0,205.0,16.3,136.0,70.6,948.0,172.0,16.5,134.0
Rev10,10,S2_Pressure_mT,64.2,948.0,204.0,16.1,141.0,63.5,960.0,204.0,16.4,139.0,61.0,941.0,205.0,16.3,136.0,70.6,948.0,172.0,16.5,134.0
Rev11,11,S2_Time_s|S3_Bias_RF_W|S3_Gas_Flow_sccm,64.2,948.0,204.0,16.1,141.0,63.4,960.0,204.0,16.4,139.0,61.0,941.0,202.0,16.3,134.0,70.6,948.0,172.0,16.5,134.0
