Sample_No,Recipe_Version,Rev_No,Wafer_ID,Tool_ID,Chamber_ID,Site_ID,Zone,Radius_frac,Angle_deg,Top_CD_nm,Mid_CD_nm,Bottom_CD_nm,Depth_nm,Top_CD_Pass,Mid_CD_Pass,Bottom_CD_Pass,Depth_Pass,Defect_Count,Defect_Severity,Anomaly_Event
1,Rev6,6,W001,PX-7500,CH-C,C1,Center,0.0,0.0,98.87,88.48,83.35,955.1,True,True,True,True,0,0.0,
2,Rev6,6,W001,PX-7500,CH-C,MID-01,Mid,0.52,30.0,99.3,93.77,90.24,941.3,True,True,True,True,0,0.0,
3,Rev6,6,W001,PX-7500,CH-C,MID-02,Mid,0.52,90.0,97.4,94.55,84.43,1119.3,True,True,True,False,1,5.66,
4,Rev6,6,W001,PX-7500,CH-C,MID-03,Mid,0.52,150.0,99.85,90.57,80.89,1057.1,True,True,True,True,0,0.0,
5,Rev6,6,W001,PX-7500,CH-C,MID-04,Mid,0.52,210.0,97.77,93.59,87.1,1067.4,True,True,True,True,0,0.0,
6,Rev6,6,W001,PX-7500,CH-C,MID-05,Mid,0.52,270.0,98.09,90.1,81.14,1092.6,True,True,True,False,0,0.0,
7,Rev6,6,W001,PX-7500,CH-C,MID-06,Mid,0.52,330.0,100.48,92.91,81.09,954.8,True,True,True,True,0,0.0,
8,Rev6,6,W001,PX-7500,CH-C,EDG-01,Edge,0.84,0.0,99.27,92.06,90.41,1043.9,True,True,True,True,0,0.0,
9,Rev6,6,W001,PX-7500,CH-C,EDG-02,Edge,0.84,32.7,103.01,93.55,86.93,968.8,False,True,True,True,0,0.0,
10,Rev6,6,W001,PX-7500,CH-C,EDG-03,Edge,0.84,65.5,97.84,91.96,82.06,858.6,True,True,True,False,0,0.0,
11,Rev6,6,W001,PX-7500,CH-C,EDG-04,Edge,0.84,98.2,97.61,95.05,86.23,964.8,True,True,True,True,1,4.47,
12,Rev6,6,W001,PX-7500,CH-C,EDG-05,Edge,0.84,130.9,99.24,92.21,81.55,1055.6,True,True,True,True,0,0.0,
13,Rev6,6,W001,PX-7500,CH-C,EDG-06,Edge,0.84,163.6,99.2,93.65,85.03,1087.5,True,True,True,True,1,2.41,polymer_residue
14,Rev6,6,W001,PX-7500,CH-C,EDG-07,Edge,0.84,196.4,103.34,95.53,88.26,955.9,False,True,True,True,0,0.0,
15,Rev6,6,W001,PX-7500,CH-C,EDG-08,Edge,0.84,229.1,103.65,98.52,84.64,981.7,False,False,True,True,3,18.85,endpoint_late
16,Rev6,6,W001,PX-7500,CH-C,EDG-09,Edge,0.84,261.8,103.38,93.2,86.42,1171.7,False,True,True,False,0,0.0,
17,Rev6,6,W001,PX-7500,CH-C,EDG-10,Edge,0.84,294.5,101.61,93.5,90.67,1144.7,False,True,True,False,0,0.0,
18,Rev6,6,W001,PX-7500,CH-C,EDG-11,Edge,0.84,327.3,101.23,92.06,89.4,1105.5,False,True,True,False,0,0.0,
19,Rev6,6,W001,PX-7500,CH-C,EXT-01,Extreme Edge,0.96,16.4,101.15,93.89,86.9,1097.4,False,True,True,False,0,0.0,
20,Rev6,6,W001,PX-7500,CH-C,EXT-02,Extreme Edge,0.96,49.1,103.31,98.31,88.15,1046.5,False,False,True,True,0,0.0,
21,Rev6,6,W001,PX-7500,CH-C,EXT-03,Extreme Edge,0.96,81.8,99.94,95.72,87.34,1064.4,True,True,True,True,1,2.34,
22,Rev6,6,W001,PX-7500,CH-C,EXT-04,Extreme Edge,0.96,114.5,100.38,94.35,93.89,1036.8,True,True,True,True,1,2.62,
23,Rev6,6,W001,PX-7500,CH-C,EXT-05,Extreme Edge,0.96,147.3,105.02,94.89,88.74,1029.3,False,True,True,True,0,0.0,
24,Rev6,6,W001,PX-7500,CH-C,EXT-06,Extreme Edge,0.96,180.0,105.27,95.79,96.76,1109.0,False,True,False,False,0,0.0,
25,Rev6,6,W001,PX-7500,CH-C,EXT-07,Extreme Edge,0.96,212.7,102.99,96.66,83.5,1160.5,False,True,True,False,0,0.0,
26,Rev6,6,W001,PX-7500,CH-C,EXT-08,Extreme Edge,0.96,245.5,102.26,95.55,86.3,1069.4,False,True,True,True,0,0.0,
27,Rev6,6,W001,PX-7500,CH-C,EXT-09,Extreme Edge,0.96,278.2,106.17,91.95,88.25,1055.9,False,True,True,True,1,3.49,
28,Rev6,6,W001,PX-7500,CH-C,EXT-10,Extreme Edge,0.96,310.9,100.53,96.29,85.74,1027.1,True,True,True,True,1,5.59,esc_temp_drift
29,Rev6,6,W001,PX-7500,CH-C,EXT-11,Extreme Edge,0.96,343.6,101.12,93.05,88.89,1064.4,False,True,True,True,2,4.99,
30,Rev7,7,W002,PX-7500,CH-D,C1,Center,0.0,0.0,97.98,93.73,86.22,938.2,True,True,True,True,0,0.0,
31,Rev7,7,W002,PX-7500,CH-D,MID-01,Mid,0.52,30.0,100.14,96.65,94.31,992.8,True,True,True,True,0,0.0,
