process,Rev_No,Recipe_Version,pass_rate,uniformity,target_proximity,defect_per_site,quality_score,rank
poly,6,Rev6,0.9190666666666666,0.15802777777777777,0.6904555555555556,0.4003722222222222,69.45111111111112,1
poly,7,Rev7,0.8817055555555555,0.13838333333333333,0.653461111111111,0.5057444444444444,66.165,2
poly,5,Rev5,0.8821833333333333,0.15957777777777776,0.5798166666666666,0.4291111111111111,65.61833333333334,3
poly,10,Rev10,0.8534611111111111,0.15326666666666666,0.5968222222222221,0.4961555555555555,63.99111111111111,4
poly,8,Rev8,0.7935722222222222,0.1432388888888889,0.5067777777777778,0.45593888888888884,58.797777777777775,5
poly,11,Rev11,0.7705888888888889,0.16462777777777776,0.38023888888888885,0.5153166666666666,56.05444444444444,6
poly,2,Rev2,0.7250833333333334,0.14839999999999998,0.4422388888888889,0.5498055555555555,53.849444444444444,7
poly,9,Rev9,0.7083388888888889,0.1609,0.39008333333333334,0.5823777777777778,52.37555555555556,8
poly,4,Rev4,0.7025777777777777,0.17617777777777777,0.35213333333333335,0.5747055555555556,51.84166666666667,9
poly,1,Rev1,0.6896555555555556,0.1564111111111111,0.3726333333333333,0.5632388888888888,50.87944444444444,10
poly,3,Rev3,0.6685833333333333,0.16595,0.36333333333333334,0.5747277777777778,49.715,11
poly,0,Base,0.6623611111111111,0.1636388888888889,0.36475,0.5689666666666667,49.30388888888889,12
contact,6,Rev6,0.8372294117647059,0.1197235294117647,0.47301176470588235,0.49695882352941173,60.32235294117647,1
contact,2,Rev2,0.8255647058823529,0.12083529411764704,0.4780117647058824,0.5273823529411765,59.72411764705882,2
contact,7,Rev7,0.8250529411764705,0.12545294117647057,0.45955882352941174,0.48073529411764704,59.53352941176471,3
contact,1,Rev1,0.7910705882352941,0.1274235294117647,0.3497294117647059,0.5091235294117648,55.89588235294118,4
contact,10,Rev10,0.7946176470588235,0.125,0.3364294117647059,0.48275294117647055,55.84882352941177,5
contact,11,Rev11,0.7682588235294118,0.11696470588235294,0.4156470588235294,0.5010117647058824,55.254705882352944,6
contact,5,Rev5,0.7723176470588236,0.11686470588235294,0.34802941176470586,0.4787,54.48,7
contact,3,Rev3,0.7601411764705882,0.1187,0.3206764705882353,0.5679470588235294,53.385882352941174,8
contact,9,Rev9,0.7540470588235294,0.11354117647058824,0.3149470588235294,0.5131823529411764,52.80588235294118,9
contact,8,Rev8,0.7180529411764707,0.12942941176470588,0.27511176470588233,0.5476647058823529,50.444705882352935,10
contact,4,Rev4,0.6845882352941176,0.13206470588235295,0.19581764705882354,0.5395529411764706,47.313529411764705,11
contact,0,Base,0.6379235294117647,0.1404764705882353,0.18480588235294118,0.6409764705882353,44.56058823529412,12
via,5,Rev5,0.8298526315789474,0.09786842105263158,0.5087263157894736,0.5226947368421053,59.869473684210526,1
via,6,Rev6,0.8230526315789474,0.11147894736842105,0.38388421052631577,0.5172263157894738,57.928421052631585,2
via,3,Rev3,0.8076315789473684,0.09350526315789473,0.36849473684210526,0.4954631578947368,56.32263157894736,3
via,2,Rev2,0.7826578947368421,0.11999473684210527,0.34245789473684213,0.5372052631578947,55.095789473684206,4
via,1,Rev1,0.7373,0.09492631578947369,0.44506315789473677,0.5771421052631579,53.28631578947369,5
via,7,Rev7,0.7690526315789473,0.09891052631578948,0.2974421052631579,0.5263157894736842,53.07684210526316,6
via,0,Base,0.7391157894736843,0.1054157894736842,0.36428947368421055,0.5735,52.445789473684215,7
via,4,Rev4,0.752278947368421,0.10042105263157895,0.29788421052631575,0.5462789473684211,52.11473684210526,8
via,10,Rev10,0.6969263157894737,0.08633157894736841,0.3167789473684211,0.5263263157894736,48.72421052631579,9
via,9,Rev9,0.6597,0.08652105263157894,0.28814736842105265,0.5662526315789475,46.06842105263158,10
via,8,Rev8,0.5943684210526315,0.10454736842105262,0.16976315789473687,0.6569842105263157,40.82157894736842,11
via,11,Rev11,0.5807526315789474,0.09852631578947368,0.18514210526315789,0.6261368421052631,40.08631578947368,12
pad,4,Rev4,0.92134375,0.27131875,0.660525,0.4418,71.970625,1
pad,8,Rev8,0.90895,0.2782,0.62291875,0.4159375,70.83375,2
pad,3,Rev3,0.89278125,0.281975,0.64563125,0.4547625,70.3,3
pad,5,Rev5,0.89385625,0.27714375,0.58793125,0.46983125,69.379375,4
pad,1,Rev1,0.88576875,0.2658375,0.61218125,0.46120625,68.97625,5
pad,7,Rev7,0.8906375,0.26404375,0.58736875,0.41379375,68.848125,6
pad,0,Base,0.87284375,0.26700625,0.57701875,0.4181,67.701875,7
pad,9,Rev9,0.83728125,0.28240624999999997,0.4757375,0.49999375,64.43375,8
pad,6,Rev6,0.83674375,0.2846,0.46780625,0.46335625,64.336875,9
pad,2,Rev2,0.84051875,0.271175,0.455725,0.4741375,64.046875,10
pad,10,Rev10,0.76348125,0.2809,0.36868125,0.489225,58.35875,11
pad,11,Rev11,0.6298375,0.28134375,0.3063625,0.62069375,49.42125,12
