Wafer_ID,Lot_ID,Slot,Fin Etch,Gate Oxide,HK/MG,S/D Epi,Contact,M1 BEOL,Via
RL001W01,RL001,1,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W02,RL001,2,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W03,RL001,3,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W04,RL001,4,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W05,RL001,5,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W06,RL001,6,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W07,RL001,7,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W08,RL001,8,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W09,RL001,9,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W10,RL001,10,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W11,RL001,11,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W12,RL001,12,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W13,RL001,13,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W14,RL001,14,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W15,RL001,15,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W16,RL001,16,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W17,RL001,17,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W18,RL001,18,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W19,RL001,19,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W20,RL001,20,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W21,RL001,21,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W22,RL001,22,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W23,RL001,23,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W24,RL001,24,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL001W25,RL001,25,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-01,ETCH-07
RL002W01,RL002,1,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-02,ETCH-07
RL002W02,RL002,2,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-02,ETCH-07
RL002W03,RL002,3,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-02,ETCH-07
RL002W04,RL002,4,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-02,ETCH-07
RL002W05,RL002,5,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-02,ETCH-07
RL002W06,RL002,6,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-02,ETCH-07
RL002W07,RL002,7,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-02,ETCH-07
RL002W08,RL002,8,ETCH-01,FURN-01,ALD-01,EPI-01,ETCH-05,PVD-02,ETCH-07
