Wafer_ID,Lot_ID,Slot,fin_width_nm,fin_height_nm,gate_length_nm,gate_ox_thk_nm,hk_thk_nm,sd_epi_thk_nm,contact_cd_nm,m1_width_nm,m1_space_nm,via_cd_nm,vt_n_V,vt_p_V,idsat_uA_um,ss_mV_dec,fin_width_nm__in_spec,fin_height_nm__in_spec,gate_length_nm__in_spec,gate_ox_thk_nm__in_spec,hk_thk_nm__in_spec,sd_epi_thk_nm__in_spec,contact_cd_nm__in_spec,m1_width_nm__in_spec,m1_space_nm__in_spec,via_cd_nm__in_spec,vt_n_V__in_spec,vt_p_V__in_spec,idsat_uA_um__in_spec,ss_mV_dec__in_spec,fail_count,overall_pass,fail_mode
RL001W01,RL001,1,7.16335,55.81194,16.90874,1.27699,1.81928,10.59406,16.85674,18.81289,17.63052,18.42095,0.32503,-0.30461,734.43539,74.58582,False,True,True,False,True,False,True,True,True,True,False,False,False,False,5,False,Oxide BD
RL001W02,RL001,2,6.67505,57.58245,16.97096,1.24423,1.82135,11.42568,15.75243,19.01592,18.31299,17.60107,0.31922,-0.2949,776.67639,74.94176,False,True,True,False,True,False,True,True,True,True,False,False,False,False,6,False,Vt Shift
RL001W03,RL001,3,6.69736,54.72337,16.37164,1.20652,1.7931,12.31664,15.86301,18.27332,18.51436,17.79987,0.2984,-0.29055,740.28071,71.58065,False,True,True,False,True,True,True,True,True,True,False,False,False,True,1,False,Metal Migration
RL001W04,RL001,4,6.35525,55.65403,17.72673,1.23654,1.9393,11.8306,17.24886,19.01379,18.38585,17.98266,0.31083,-0.31548,862.87126,74.79299,True,True,False,False,False,True,False,True,True,True,False,False,True,False,5,False,Vt Shift
RL001W05,RL001,5,6.71574,55.94054,16.27712,1.22971,1.81659,11.42098,16.37206,18.51886,17.97417,17.79182,0.31095,-0.29708,793.43251,73.06013,False,True,True,False,True,False,True,True,True,True,False,False,False,False,3,False,Oxide BD
RL001W06,RL001,6,6.79314,54.31589,16.66095,1.22979,1.85144,12.29148,16.49234,18.66818,18.31497,17.82677,0.30638,-0.29983,807.28295,71.13758,False,True,True,False,False,True,True,True,True,True,False,False,False,True,4,False,Metal Migration
RL001W07,RL001,7,6.75865,55.65296,16.77839,1.21257,1.78739,12.20951,16.05657,18.62546,18.35501,17.81048,0.29674,-0.30498,829.61258,71.54963,False,True,True,False,True,True,True,True,True,True,False,False,True,True,3,False,Contact Open
RL001W08,RL001,8,6.35091,56.06064,16.9758,1.22155,1.83736,12.15298,16.90812,18.34635,18.93419,17.57666,0.31157,-0.28387,833.64853,72.09321,True,True,True,False,True,True,True,True,True,True,False,True,True,False,3,False,Wear-out
RL001W09,RL001,9,7.03874,56.08237,15.86253,1.21303,1.77442,11.60968,16.69192,18.94621,18.23603,17.80936,0.30917,-0.29331,885.97667,72.46378,False,True,True,False,True,True,True,True,True,True,False,False,True,False,4,False,Junction Leak
RL001W10,RL001,10,6.65245,52.05451,16.65329,1.22541,1.75002,11.27686,16.54813,18.77186,19.30971,17.7362,0.31111,-0.27828,834.01776,72.23734,False,True,True,False,True,False,True,True,True,True,False,True,True,False,2,False,Contact Open
RL001W11,RL001,11,6.20953,56.29782,16.81857,1.24226,1.80435,12.56849,15.8559,17.57466,18.2498,17.93579,0.30267,-0.27444,749.57218,72.39477,True,True,True,False,True,True,True,True,True,True,False,True,False,False,2,False,Wear-out
RL001W12,RL001,12,6.72719,57.27831,16.69815,1.25466,1.87216,10.44876,15.58412,19.07557,17.99266,18.13969,0.30225,-0.31432,854.10701,73.38912,False,True,True,False,False,False,True,True,True,True,False,False,True,False,5,False,Vt Shift
