module,tool,n_lots,pass_rate,other_tools_pass_rate,delta,p_value,flagged,is_true_rogue
Gate Oxide,FURN-02,29,0.3076,0.8442,-0.5366,2.502956517027803e-06,True,True
M1 BEOL,PVD-02,23,0.3113,0.712,-0.4007,0.0003383543646608742,True,True
Contact,ETCH-05,28,0.4229,0.656,-0.2331,0.0383374335540289,True,False
HK/MG,ALD-02,22,0.4127,0.6108,-0.198,0.04370865930386888,True,False
S/D Epi,EPI-01,27,0.4711,0.5829,-0.1117,0.17679240499674376,False,False
Fin Etch,ETCH-01,17,0.4565,0.5548,-0.0984,0.17931471858547215,False,False
Via,ETCH-07,22,0.4818,0.5523,-0.0705,0.37909252715196673,False,False
Fin Etch,ETCH-03,18,0.5489,0.5027,0.0462,0.7075711120966196,False,False
Fin Etch,ETCH-02,13,0.5631,0.504,0.0591,0.6658587026652448,False,False
Via,ETCH-06,26,0.5523,0.4818,0.0705,0.6289588427255294,False,False
S/D Epi,EPI-02,21,0.5829,0.4711,0.1117,0.8286855866149545,False,False
HK/MG,ALD-01,26,0.6108,0.4127,0.198,0.9582218021219323,False,False
Contact,ETCH-04,20,0.656,0.4229,0.2331,0.9634152705663883,False,False
M1 BEOL,PVD-01,25,0.712,0.3113,0.4007,0.9996869200405033,False,False
Gate Oxide,FURN-01,19,0.8442,0.3076,0.5366,0.9999977427734593,False,False
