factor,target,n,spearman,p_value,q_value,r2,significant
Step09_D1,FR_PARTICLE,965,0.680654304675142,2.7932967071788582e-132,1.927374727953412e-130,0.463290282472801,True
Step20_R1,FR_SHORT,2673,0.6387135732682789,2.3052512647669042e-306,6.362493490756655e-304,0.4079550286771331,True
Step09_D1,Yield_pct,965,-0.59526112377196,1.4214054803384796e-93,4.903848907167755e-92,0.35433580547425675,True
Step07_R1,FR_BRIDGE,2721,0.5551262986205878,8.379297593158824e-220,1.1563430678559178e-217,0.30816520742019404,True
Step18_D1,Yield_pct,965,-0.5234048504312409,5.554132055958137e-69,1.3935822249494962e-67,0.27395263745494963,True
Step16_D1,Yield_pct,983,-0.5155235858767909,7.669513340618518e-68,1.763988068342259e-66,0.265764567595265,True
Step24_D1,Yield_pct,933,-0.5149949260856385,2.5151463627940007e-64,5.339849201008802e-63,0.26521977389395224,True
Step02_D1,Yield_pct,971,-0.5004304869491042,1.1332200920329874e-62,2.2340624671507463e-61,0.25043067226811755,True
Step13_D1,Yield_pct,971,-0.4942791389158043,5.892668157271967e-61,1.084250940938042e-59,0.24431186716734893,True
Step06_D1,Yield_pct,983,-0.48843623824466864,4.521752029352766e-60,7.800022250633522e-59,0.2385699588306027,True
Step20_R1,Yield_pct,2673,-0.4615291600324121,3.901802868803211e-141,3.589658639298954e-139,0.21300916556022387,True
Step20_D1,Yield_pct,991,-0.4565842194223294,3.430939120365882e-52,5.570230571888137e-51,0.20846914942549785,True
Step14_R2,FR_VOID,2664,0.4348995362396023,2.2849606796509194e-123,1.2612982951673076e-121,0.18913760662142118,True
Step24_D1,FR_PARTICLE,933,0.4309552034029401,1.7599295270354178e-43,2.4287027473088765e-42,0.18572238734006946,True
Step07_R1,Yield_pct,2721,-0.4182863924962765,1.0179635483663892e-115,4.68263232248539e-114,0.1749635061475491,True
Step18_D1,FR_PARTICLE,965,0.4130182846535858,4.794820313377868e-41,6.301763840439484e-40,0.17058410345819044,True
Step14_R2,Yield_pct,2664,-0.4029478326168227,1.471700708955684e-104,5.802705652453839e-103,0.16236695581059496,True
Step16_D1,FR_PARTICLE,983,0.396431913625805,2.420571427763872e-38,2.783657141928453e-37,0.15715826214101772,True
Step02_D1,FR_PARTICLE,971,0.38824097301675997,2.751067167076857e-36,2.8122019930118984e-35,0.15073105312900054,True
Step06_D1,FR_PARTICLE,983,0.3878703244319556,1.2125039020907377e-36,1.287119526834783e-35,0.15044338857495052,True
Step13_D1,FR_PARTICLE,971,0.35945544049848915,5.47705580707896e-31,4.085587575010252e-30,0.12920821370396288,True
Step18_D1,FR_VOID,965,0.35894503913959946,1.0204135566242247e-30,7.04085354070715e-30,0.1288415411229286,True
Step23_R3,FR_OPEN,2620,0.35463297074439876,1.7123262927509127e-78,5.2511339644361324e-77,0.12576454393899758,True
Step02_D1,FR_VOID,971,0.354132028295785,4.579746219548694e-30,2.872749901353272e-29,0.12540949346488667,True
