factor,best_target,rho_mode,rho_yield,n,specificity,causal_candidate
Step20_R1,FR_SHORT,0.6387135732682789,0.4615291600324121,2673,0.1771844132358668,True
Step07_R1,FR_BRIDGE,0.5551262986205878,0.4182863924962765,2721,0.1368399061243113,True
Step09_D1,FR_PARTICLE,0.680654304675142,0.59526112377196,965,0.08539318090318193,True
Step14_R2,FR_VOID,0.4348995362396023,0.4029478326168227,2664,0.031951703622779604,True
Step23_R3,FR_OPEN,0.35463297074439876,0.35008460268868874,2620,0.004548368055710017,True
Step13_R1,FR_PARTICLE,0.187616134345289,0.19493884652007276,2639,-0.007322712174783752,False
Step16_R1,FR_PARTICLE,0.1713891402525466,0.18999155914187302,2597,-0.018602418889326428,False
Step08_R2,FR_PARTICLE,0.1797345069472798,0.1985568201265042,2711,-0.018822313179224393,False
Step08_R1,FR_PARTICLE,0.1395122769193423,0.16131099098885068,2627,-0.021798714069508396,False
Step15_R1,FR_SHORT,0.16631345205556852,0.19131862843695735,2661,-0.025005176381388827,False
Step21_R1,FR_PARTICLE,0.14657531481059102,0.17183761709600934,2674,-0.025262302285418314,False
Step12_R3,FR_VOID,0.16016801588293683,0.18558808865275497,2633,-0.02542007276981814,False
Step04_R1,FR_PARTICLE,0.19298789348298542,0.21988184536483998,2632,-0.02689395188185456,False
Step17_R2,FR_PARTICLE,0.16576428182022176,0.19530249983171818,2662,-0.02953821801149642,False
Step11_R1,FR_PARTICLE,0.14079742187083658,0.17255836176063424,2597,-0.03176093988979767,False
Step21_R2,FR_PARTICLE,0.15803012194296043,0.1907912977369121,2707,-0.032761175793951686,False
Step12_R1,FR_PARTICLE,0.1695256446337097,0.20487620423939815,2611,-0.03535055960568845,False
Step24_R1,FR_PARTICLE,0.14712315276240973,0.18373694271304775,2574,-0.03661378995063802,False
Step05_R2,FR_PARTICLE,0.19074789609620846,0.22958293410231245,2640,-0.038835038006103995,False
Step23_R1,FR_PARTICLE,0.16526102328407036,0.2046557423840861,2723,-0.03939471910001574,False
Step19_R2,FR_PARTICLE,0.18722855328739368,0.2266255813444221,2583,-0.03939702805702841,False
Step18_R1,FR_PARTICLE,0.15120204684811592,0.19246490666592556,2740,-0.04126285981780964,False
Step05_R1,FR_PARTICLE,0.17673853080751278,0.2196247357501389,2691,-0.04288620494262613,False
Step23_R2,FR_PARTICLE,0.1582730565269665,0.20334786748648326,2667,-0.045074810959516765,False
Step06_R1,FR_PARTICLE,0.16560149355570186,0.2107197868201814,2606,-0.045118293264479525,False
Step12_R2,FR_SHORT,0.1624285386787381,0.20765767757574308,2707,-0.04522913889700497,False
Step17_R1,FR_PARTICLE,0.17855551227864808,0.2246378384575419,2627,-0.04608232617889382,False
Step05_R3,FR_OPEN,0.17397657184247337,0.22062561263627156,2660,-0.0466490407937982,False
Step19_R1,FR_SHORT,0.17612041350487023,0.22367695895447848,2682,-0.047556545449608245,False
Step03_R2,FR_PARTICLE,0.15421066430516242,0.20217301901196774,2645,-0.04796235470680532,False
Step22_R1,FR_PARTICLE,0.19486229064536814,0.24440167315499065,2602,-0.049539382509622504,False
Step02_R1,FR_OPEN,0.1501954842641735,0.20100441846965775,2611,-0.05080893420548424,False
Step14_R1,FR_PARTICLE,0.15702079706779465,0.20843133406579692,2627,-0.05141053699800227,False
Step09_R1,FR_OPEN,0.15843554466663964,0.2113966757625725,2642,-0.05296113109593287,False
Step19_R3,FR_VOID,0.15890144085742292,0.2123455543644314,2559,-0.05344411350700848,False
Step10_R1,FR_PARTICLE,0.16075841810842809,0.21437939606671585,2686,-0.05362097795828777,False
Step10_R2,FR_PARTICLE,0.19989589159638724,0.25448553287657505,2603,-0.05458964128018781,False
Step01_R1,FR_VOID,0.14863105826757728,0.2059632319022138,2633,-0.057332173634636524,False
Step03_R1,FR_PARTICLE,0.17027858772175689,0.22959392463155917,2664,-0.059315336909802285,False
Step24_D1,FR_PARTICLE,0.4309552034029401,0.5149949260856385,933,-0.08403972268269838,False
Step06_D1,FR_PARTICLE,0.3878703244319556,0.48843623824466864,983,-0.10056591381271301,False
Step18_D1,FR_PARTICLE,0.4130182846535858,0.5234048504312409,965,-0.11038656577765504,False
Step02_D1,FR_PARTICLE,0.38824097301675997,0.5004304869491042,971,-0.11218951393234422,False
Step20_D1,FR_PARTICLE,0.3443212139782884,0.4565842194223294,991,-0.112263005444041,False
Step16_D1,FR_PARTICLE,0.396431913625805,0.5155235858767909,983,-0.11909167225098594,False
Step13_D1,FR_PARTICLE,0.35945544049848915,0.4942791389158043,971,-0.13482369841731512,False
